Date,Open,High,Low,Close,Adj Close,Volume
2022-09-05,2410.070068,2424.770020,2392.629883,2403.679932,2403.679932,354700
2022-09-06,2409.719971,2422.530029,2399.260010,2410.020020,2410.020020,294100
2022-09-07,2395.659912,2398.399902,2365.350098,2376.459961,2376.459961,377900
2022-09-08,2393.270020,2394.060059,2379.060059,2384.280029,2384.280029,423600
2022-09-13,2418.590088,2453.949951,2418.590088,2449.540039,2449.540039,366900
2022-09-14,2390.469971,2418.419922,2381.500000,2411.419922,2411.419922,461300
2022-09-15,2416.010010,2421.629883,2401.830078,2401.830078,2401.830078,423900
2022-09-16,2387.560059,2395.100098,2371.110107,2382.780029,2382.780029,440300
2022-09-19,2388.729980,2389.850098,2352.760010,2355.659912,2355.659912,403700
2022-09-20,2373.639893,2382.520020,2359.840088,2367.850098,2367.850098,419200
2022-09-21,2351.540039,2360.270020,2341.790039,2347.209961,2347.209961,378000
2022-09-22,2319.699951,2335.110107,2309.100098,2332.310059,2332.310059,446600
2022-09-23,2331.330078,2334.060059,2285.709961,2290.000000,2290.000000,446300
2022-09-26,2260.800049,2260.800049,2215.360107,2220.939941,2220.939941,621400
2022-09-27,2224.389893,2227.350098,2197.899902,2223.860107,2223.860107,487600
2022-09-28,2206.149902,2223.560059,2151.600098,2169.290039,2169.290039,595700
2022-09-29,2197.750000,2210.610107,2170.139893,2170.929932,2170.929932,508200
2022-09-30,2161.110107,2177.199951,2134.770020,2155.489990,2155.489990,950000
2022-10-04,2189.510010,2212.379883,2180.840088,2209.379883,2209.379883,420700
2022-10-05,2248.850098,2253.929932,2204.030029,2215.219971,2215.219971,855400
2022-10-06,2230.429932,2250.870117,2223.360107,2237.860107,2237.860107,642700
2022-10-07,2217.840088,2245.879883,2215.080078,2232.840088,2232.840088,428500
2022-10-11,2193.020020,2193.050049,2174.060059,2192.070068,2192.070068,859100
2022-10-12,2191.350098,2205.020020,2181.649902,2202.469971,2202.469971,658000
2022-10-13,2198.290039,2198.340088,2162.870117,2162.870117,2162.870117,792200
2022-10-14,2200.659912,2220.540039,2193.629883,2212.550049,2212.550049,512900
2022-10-17,2187.169922,2221.050049,2177.659912,2219.709961,2219.709961,498500
2022-10-18,2249.149902,2251.739990,2220.709961,2249.949951,2249.949951,580700
2022-10-19,2249.350098,2266.800049,2234.590088,2237.439941,2237.439941,895000
2022-10-20,2225.530029,2231.520020,2200.439941,2218.090088,2218.090088,1108000
2022-10-21,2210.590088,2224.040039,2204.639893,2213.120117,2213.120117,637400
2022-10-24,2248.260010,2256.669922,2229.850098,2236.159912,2236.159912,444700
2022-10-25,2237.040039,2253.239990,2230.750000,2235.070068,2235.070068,456700
2022-10-26,2240.699951,2258.110107,2234.489990,2249.560059,2249.560059,563300
2022-10-27,2266.070068,2290.560059,2262.020020,2288.780029,2288.780029,587700
2022-10-28,2276.729980,2292.649902,2266.439941,2268.399902,2268.399902,427100
2022-10-31,2293.750000,2295.510010,2273.729980,2293.610107,2293.610107,401300
2022-11-01,2301.580078,2335.570068,2297.570068,2335.219971,2335.219971,597100
2022-11-02,2326.050049,2346.320068,2323.370117,2336.870117,2336.870117,450200
2022-11-03,2297.449951,2342.860107,2296.439941,2329.169922,2329.169922,550300
2022-11-04,2325.850098,2348.429932,2316.290039,2348.429932,2348.429932,436200
2022-11-07,2360.219971,2373.280029,2354.219971,2371.790039,2371.790039,392300
2022-11-08,2387.199951,2400.389893,2375.669922,2399.040039,2399.040039,499800
2022-11-09,2408.540039,2429.649902,2403.639893,2424.409912,2424.409912,680500
2022-11-10,2405.770020,2426.100098,2401.989990,2402.229980,2402.229980,899000
2022-11-11,2466.899902,2486.459961,2463.510010,2483.159912,2483.159912,758000
2022-11-14,2485.179932,2499.429932,2470.600098,2474.649902,2474.649902,730900
2022-11-15,2482.760010,2485.199951,2463.649902,2480.330078,2480.330078,617100
2022-11-16,2487.000000,2487.000000,2446.790039,2477.449951,2477.449951,657600
2022-11-17,2466.500000,2467.389893,2442.899902,2442.899902,2442.899902,914400
2022-11-18,2448.129883,2471.870117,2442.870117,2444.479980,2444.479980,589500
2022-11-21,2446.050049,2448.139893,2409.360107,2419.500000,2419.500000,544500
2022-11-22,2405.959961,2426.399902,2401.500000,2405.270020,2405.270020,539200
2022-11-23,2424.360107,2427.280029,2407.580078,2418.010010,2418.010010,474800
2022-11-24,2437.510010,2441.330078,2428.120117,2441.330078,2441.330078,481200
2022-11-25,2442.209961,2449.659912,2433.570068,2437.860107,2437.860107,438400
2022-11-28,2425.050049,2425.649902,2401.949951,2408.270020,2408.270020,350100
2022-11-29,2405.540039,2433.870117,2401.100098,2433.389893,2433.389893,550000
2022-11-30,2424.439941,2472.530029,2421.419922,2472.530029,2472.530029,593900
2022-12-01,2501.429932,2501.429932,2474.330078,2479.840088,2479.840088,491200
2022-12-02,2471.500000,2471.500000,2434.330078,2434.330078,2434.330078,468500
2022-12-05,2442.169922,2442.219971,2413.050049,2419.320068,2419.320068,385200
2022-12-06,2397.699951,2416.879883,2390.199951,2393.159912,2393.159912,367800
2022-12-07,2385.870117,2394.879883,2377.979980,2382.810059,2382.810059,332100
2022-12-08,2386.899902,2387.949951,2357.199951,2371.080078,2371.080078,351600
2022-12-09,2382.729980,2390.080078,2367.250000,2389.040039,2389.040039,315300
2022-12-12,2373.580078,2381.870117,2368.469971,2373.020020,2373.020020,498900
2022-12-13,2385.050049,2388.270020,2364.870117,2372.399902,2372.399902,447100
2022-12-14,2380.810059,2400.179932,2379.439941,2399.250000,2399.250000,409400
2022-12-15,2383.830078,2392.110107,2360.949951,2360.969971,2360.969971,374300
2022-12-16,2329.750000,2360.439941,2326.830078,2360.020020,2360.020020,414200
2022-12-19,2350.780029,2358.760010,2342.280029,2352.169922,2352.169922,323600
2022-12-20,2344.729980,2353.860107,2324.659912,2333.290039,2333.290039,358100
2022-12-21,2346.389893,2347.000000,2325.780029,2328.949951,2328.949951,329400
2022-12-22,2340.000000,2356.729980,2335.750000,2356.729980,2356.729980,552800
2022-12-23,2325.860107,2333.080078,2311.899902,2313.689941,2313.689941,367000
2022-12-26,2312.540039,2321.919922,2304.199951,2317.139893,2317.139893,427600
2022-12-27,2327.520020,2335.989990,2321.479980,2332.790039,2332.790039,448300
2022-12-28,2296.449951,2296.449951,2276.899902,2280.449951,2280.449951,405700
2022-12-29,2265.729980,2272.669922,2236.379883,2236.399902,2236.399902,361000
2023-01-02,2249.949951,2259.879883,2222.370117,2225.669922,2225.669922,346100
2023-01-03,2230.979980,2230.979980,2180.669922,2218.679932,2218.679932,410000
2023-01-04,2205.979980,2260.060059,2198.820068,2255.979980,2255.979980,412700
2023-01-05,2268.199951,2281.389893,2252.969971,2264.649902,2264.649902,430800
2023-01-06,2253.399902,2300.620117,2253.270020,2289.969971,2289.969971,398300
2023-01-09,2315.870117,2351.060059,2312.560059,2350.189941,2350.189941,341100
2023-01-10,2348.040039,2370.179932,2344.179932,2351.310059,2351.310059,359600
2023-01-11,2364.050049,2369.659912,2350.360107,2359.530029,2359.530029,368800
2023-01-12,2376.719971,2377.800049,2358.330078,2365.100098,2365.100098,580100
2023-01-13,2377.340088,2397.010010,2375.780029,2386.090088,2386.090088,861700
2023-01-16,2390.060059,2410.219971,2387.610107,2399.860107,2399.860107,517800
2023-01-17,2400.919922,2404.000000,2374.649902,2379.389893,2379.389893,536000
2023-01-18,2380.360107,2383.000000,2356.840088,2368.320068,2368.320068,536200
2023-01-19,2354.560059,2380.340088,2354.560059,2380.340088,2380.340088,369900
2023-01-20,2380.000000,2395.969971,2372.570068,2395.260010,2395.260010,302300
2023-01-25,2426.580078,2432.709961,2421.510010,2428.570068,2428.570068,549800
2023-01-26,2436.179932,2468.649902,2426.399902,2468.649902,2468.649902,486600
2023-01-27,2474.520020,2497.399902,2464.530029,2484.020020,2484.020020,509100
2023-01-30,2484.639893,2491.129883,2446.590088,2450.469971,2450.469971,475100
2023-01-31,2449.919922,2457.479980,2423.370117,2425.080078,2425.080078,616900
2023-02-01,2446.030029,2453.290039,2433.370117,2449.800049,2449.800049,666100
2023-02-02,2481.939941,2486.199951,2454.600098,2468.879883,2468.879883,692800
2023-02-03,2466.540039,2485.080078,2460.209961,2480.399902,2480.399902,496600
2023-02-06,2461.820068,2469.419922,2438.040039,2438.189941,2438.189941,566600
2023-02-07,2440.139893,2456.169922,2432.399902,2451.709961,2451.709961,446600
2023-02-08,2469.419922,2487.350098,2465.959961,2483.639893,2483.639893,414800
2023-02-09,2470.659912,2487.139893,2466.610107,2481.520020,2481.520020,609400
2023-02-10,2470.649902,2473.800049,2454.739990,2469.729980,2469.729980,656900
2023-02-13,2461.959961,2462.580078,2440.860107,2452.699951,2452.699951,485500
2023-02-14,2471.330078,2480.340088,2459.830078,2465.639893,2465.639893,348800
2023-02-15,2473.090088,2473.439941,2424.159912,2427.899902,2427.899902,386500
2023-02-16,2444.060059,2475.989990,2442.070068,2475.479980,2475.479980,387600
2023-02-17,2447.659912,2471.510010,2445.739990,2451.209961,2451.209961,513600
2023-02-20,2453.250000,2463.169922,2430.270020,2455.120117,2455.120117,390000
2023-02-21,2457.510010,2466.070068,2446.000000,2458.959961,2458.959961,494300
2023-02-22,2430.870117,2435.979980,2416.159912,2417.679932,2417.679932,426700
2023-02-23,2430.010010,2449.620117,2422.620117,2439.090088,2439.090088,400300
2023-02-24,2442.489990,2452.969971,2421.469971,2423.610107,2423.610107,369200
2023-02-27,2405.419922,2405.560059,2383.760010,2402.639893,2402.639893,356700
2023-02-28,2417.580078,2431.669922,2407.290039,2412.850098,2412.850098,529200
2023-03-02,2414.610107,2440.590088,2411.850098,2427.850098,2427.850098,427900
2023-03-03,2438.729980,2442.100098,2423.080078,2432.070068,2432.070068,371500
2023-03-06,2452.459961,2464.449951,2441.070068,2462.620117,2462.620117,417900
2023-03-07,2457.040039,2475.729980,2455.649902,2463.350098,2463.350098,449800
2023-03-08,2435.580078,2442.610107,2426.520020,2431.909912,2431.909912,437300
2023-03-09,2440.790039,2444.199951,2416.250000,2419.090088,2419.090088,473500
2023-03-10,2389.820068,2400.870117,2383.189941,2394.590088,2394.590088,412900
2023-03-13,2400.449951,2413.239990,2369.790039,2410.600098,2410.600098,380400
2023-03-14,2390.360107,2390.780029,2348.189941,2348.969971,2348.969971,484800
2023-03-15,2380.090088,2395.360107,2370.770020,2379.719971,2379.719971,443500
2023-03-16,2357.979980,2382.790039,2346.110107,2377.909912,2377.909912,317300
2023-03-17,2403.699951,2405.350098,2382.800049,2395.689941,2395.689941,363400
2023-03-20,2391.870117,2405.989990,2378.699951,2379.199951,2379.199951,344700
2023-03-21,2396.540039,2399.520020,2383.169922,2388.350098,2388.350098,354700
2023-03-22,2411.250000,2417.469971,2402.780029,2416.959961,2416.959961,500900
2023-03-23,2398.270020,2424.479980,2397.909912,2424.479980,2424.479980,567400
2023-03-24,2421.270020,2423.760010,2399.489990,2414.959961,2414.959961,470100
2023-03-27,2423.939941,2423.939941,2395.969971,2409.219971,2409.219971,472200
2023-03-28,2418.689941,2434.939941,2415.340088,2434.939941,2434.939941,523500
2023-03-29,2432.629883,2443.949951,2428.610107,2443.919922,2443.919922,496600
